<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20160810,000000,64.9725,64.165,64.87,3575316000
USDRUB_TOM,D,20160811,000000,65.12,64.12,64.325,3473172000
USDRUB_TOM,D,20160812,000000,65,64.08,64.75,4291622000
USDRUB_TOM,D,20160815,000000,64.5625,63.905,64.03,3262779000
USDRUB_TOM,D,20160816,000000,64.1975,63.5525,63.775,3379570000
USDRUB_TOM,D,20160817,000000,64.335,63.8,63.825,3662433000
USDRUB_TOM,D,20160818,000000,64.195,63.38,63.65,3944789000
USDRUB_TOM,D,20160819,000000,64.1125,63.58,63.9,3075868000
USDRUB_TOM,D,20160822,000000,64.82,64.055,64.8125,3525417000
USDRUB_TOM,D,20160823,000000,64.92,64.2775,64.6,3361088000
USDRUB_TOM,D,20160824,000000,65.3275,64.6925,65.17,3699591000
USDRUB_TOM,D,20160825,000000,65.0625,64.57,64.6625,3311490000
USDRUB_TOM,D,20160826,000000,65,64.2225,64.86,3773034000
USDRUB_TOM,D,20160829,000000,65.18,64.73,64.75,1960548000
USDRUB_TOM,D,20160830,000000,65.35,64.81,65.25,3186881000
USDRUB_TOM,D,20160831,000000,65.45,65.12,65.315,3527299000
USDRUB_TOM,D,20160901,000000,65.9775,65.1625,65.92,3757259000
USDRUB_TOM,D,20160902,000000,65.96,64.99,65.095,3975718000
USDRUB_TOM,D,20160905,000000,65.15,64.5125,65.08,3326649000
USDRUB_TOM,D,20160906,000000,64.9325,64.4075,64.5625,3168523000
USDRUB_TOM,D,20160907,000000,64.6,64.13,64.135,3281553000
USDRUB_TOM,D,20160908,000000,64.0575,63.565,63.9975,3614177000
USDRUB_TOM,D,20160909,000000,64.85,64.0075,64.82,3850951000
USDRUB_TOM,D,20160912,000000,65.3025,64.4175,64.5875,3641193000
USDRUB_TOM,D,20160913,000000,65.47,64.67,65.2975,3795488000
USDRUB_TOM,D,20160914,000000,65.31,64.8,65.16,4102773000
USDRUB_TOM,D,20160915,000000,65.4425,64.6675,64.775,4575815000
USDRUB_TOM,D,20160916,000000,65.2525,64.8425,65.12,3794032000
USDRUB_TOM,D,20160919,000000,65.02,64.3625,64.65,3406062000
USDRUB_TOM,D,20160920,000000,65.02,64.5725,64.7775,3419615000
USDRUB_TOM,D,20160921,000000,64.55,63.79,63.81,3370714000
USDRUB_TOM,D,20160922,000000,63.965,63.49,63.7025,3464997000
USDRUB_TOM,D,20160923,000000,64.12,63.3775,64.06,4364711000
USDRUB_TOM,D,20160926,000000,64.29,63.58,63.95,3397167000
USDRUB_TOM,D,20160927,000000,64.09,63.57,63.86,3567443000
USDRUB_TOM,D,20160928,000000,64.0975,63,63.04,3714617000
USDRUB_TOM,D,20160929,000000,63.37,62.895,63.08,4351517000
USDRUB_TOM,D,20160930,000000,63.52,62.64,62.805,4155750000
USDRUB_TOM,D,20161003,000000,62.845,62.1475,62.29,3984529000
USDRUB_TOM,D,20161004,000000,62.86,62.3125,62.665,4256595000
USDRUB_TOM,D,20161005,000000,62.6175,62.2925,62.4375,3071903000
USDRUB_TOM,D,20161006,000000,62.485,62.08,62.13,2916290000
USDRUB_TOM,D,20161007,000000,62.5325,61.9525,62.2125,3853751000
USDRUB_TOM,D,20161010,000000,62.53,61.8175,62.005,3760059000
USDRUB_TOM,D,20161011,000000,62.9,62.1,62.6625,5050924000
USDRUB_TOM,D,20161012,000000,63.16,62.48,63.02,4441613000
USDRUB_TOM,D,20161013,000000,63.515,62.9,63.03,3558123000
USDRUB_TOM,D,20161014,000000,63.0825,62.7925,62.96,2726490000
USDRUB_TOM,D,20161017,000000,63.22,62.725,63.11,3335815000
USDRUB_TOM,D,20161018,000000,63.0325,62.7775,62.81,2561492000
USDRUB_TOM,D,20161019,000000,62.81,62.2,62.285,3167487000
USDRUB_TOM,D,20161020,000000,62.5,62.2575,62.4875,2537430000
